date,time,stock,exchange,signal_type,entry_price,target,stop_loss,confidence,rsi,gain_pct,sl_pct,hold_days,atr,macd_cross,volume_spike,reason,status,vix_level,vix_current,sr_pivot,fo_strike,fo_option_type,fo_expiry,fo_premium,fo_tgt_premium,fo_sl_premium,signal_category
10-04-2026,9:49,PRECWIRE,NSE,BUY,329.45,380.07,304.14,65,59.8,15.4,7.7,03-Jul,16.87,True,False,RSI rising in healthy zone + MACD daily bullish crossover + EMA20 > EMA50 bullish stack,Open,,,,,,,,,,
10-04-2026,10:23,DATAPATTNS,NSE,BUY,3415.8,3900.22,3173.59,65,61.8,14.2,7.1,03-Jul,161.47,True,False,RSI rising in healthy zone + MACD daily bullish crossover + EMA20 > EMA50 bullish stack,Open,,,,,,,,,,
10-04-2026,11:00,DATAPATTNS,NSE,BUY,3378.6,3863.02,3136.39,65,60.4,14.3,7.2,03-Jul,161.47,True,False,RSI rising in healthy zone + MACD daily bullish crossover + EMA20 > EMA50 bullish stack,Open,,,,,,,,,,
10-04-2026,12:50,EMMVEE,NSE,BUY,234.04,271.38,215.37,65,60.9,16.0,8.0,03-Jul,12.45,True,True,RSI rising in healthy zone + MACD daily bullish crossover + EMA20 > EMA50 bullish stack,Open,,,,,,,,,,
10-04-2026,14:40,AETHER,NSE,BUY,1186.2,1370.66,1093.97,65,62.0,15.6,7.8,03-Jul,61.49,True,False,RSI rising in healthy zone + MACD daily bullish crossover + EMA20 > EMA50 bullish stack,Open,,,,,,,,,,
10-04-2026,15:17,AARTIIND,NSE,BUY,423.9,475.48,398.11,65,51.8,12.2,6.1,03-Jul,17.19,True,False,RSI rising in healthy zone + MACD daily bullish crossover + EMA20 > EMA50 bullish stack,Target Hit,,,,,,,,,,
10-04-2026,15:18,ASTERDM,NSE,BUY,682.4,756.28,645.46,65,59.3,10.8,5.4,03-Jul,24.63,True,False,RSI rising in healthy zone + MACD daily bullish crossover + EMA20 > EMA50 bullish stack,Open,,,,,,,,,,
10-04-2026,15:18,BHARATFORG,NSE,BUY,1798.4,2002.08,1696.56,65,56.9,11.3,5.7,03-Jul,67.89,True,False,RSI rising in healthy zone + MACD daily bullish crossover + EMA20 > EMA50 bullish stack,Target Hit,,,,,,,,,,
10-04-2026,15:18,BHARATFORG,NSE,BUY,1798.4,2002.08,1696.56,65,56.9,11.3,5.7,03-Jul,67.89,True,False,RSI rising in healthy zone + MACD daily bullish crossover + EMA20 > EMA50 bullish stack,Target Hit,,,,1800.0,CE,16-Apr,28.6,45.8,14.3,F&O
10-04-2026,15:19,EMMVEE,NSE,BUY,231.73,269.07,213.06,65,59.7,16.1,8.1,03-Jul,12.45,True,True,RSI rising in healthy zone + MACD daily bullish crossover + EMA20 > EMA50 bullish stack,Open,,,,,,,,,,
